version,uniform_mse,uniform_mae,adaptive_mse,adaptive_mae,mse_x_uniform,mse_y_uniform,mse_z_uniform,mse_x_adaptive,mse_y_adaptive,mse_z_adaptive,mesh
4,4.882836939684835e-07,0.0006059665442791249,2.8849679445524324e-07,0.0004609422999525675,4.927286516619107e-07,5.101719189931468e-07,4.619505112503924e-07,2.884267600180471e-07,2.8461990180111463e-07,2.924437215465686e-07,fence
0,3.606065670543075e-07,0.0005222276786544499,3.599085286039315e-07,0.0005216652018718551,3.5490057376427947e-07,3.7812600180831815e-07,3.487931255903199e-07,3.5464900390637216e-07,3.7764112549018304e-07,3.4743545641524004e-07,girl
1,3.548145417086126e-07,0.0005147361174095788,3.5389807943425106e-07,0.0005139316551620589,3.5500653565915376e-07,3.568850557293702e-07,3.5255203373731786e-07,3.548236703104043e-07,3.555973752504788e-07,3.5127319274187013e-07,girl
2,3.536574156862119e-07,0.0005148184422586948,3.5305674430768753e-07,0.0005142601177047661,3.4449379490441253e-07,3.6521687814490514e-07,3.5126157400932205e-07,3.4393050924252843e-07,3.6357184923615454e-07,3.516678744443816e-07,girl
3,3.5844049433979634e-07,0.0005175351622715465,3.581772681592606e-07,0.0005173452581937926,3.669966753651735e-07,3.4594467416158567e-07,3.623801334926326e-07,3.672618223888824e-07,3.4561910256564576e-07,3.6165087952324843e-07,girl
4,3.6103807507976924e-07,0.0005205400192522572,3.6111175932993295e-07,0.0005207340466115835,3.650280302132764e-07,3.554631070381673e-07,3.6262308798786856e-07,3.646726826386661e-07,3.558194488055912e-07,3.628431465455374e-07,girl
0,1.7873719934919707e-06,0.0011537878852045315,1.1789473740286155e-06,0.0009294760125452331,1.93167230126595e-06,1.7254298323899302e-06,1.705013846820056e-06,1.2093395221180343e-06,1.1464537562175493e-06,1.1810488437502629e-06,person
1,1.7903644020511168e-06,0.0011597660607833681,1.2580312544268258e-06,0.0009542306485342674,1.757088177620034e-06,1.8456172374450812e-06,1.7683877910882392e-06,1.2504741067772241e-06,1.292388031798005e-06,1.2312316247052489e-06,person
2,1.8618837275468179e-06,0.0011841769443616003,1.2182166539360597e-06,0.0009409430895744996,1.915905492305609e-06,1.8520944166124172e-06,1.8176512737224108e-06,1.218632400939514e-06,1.2330872690934449e-06,1.2029302917752292e-06,person
3,1.8106548047396567e-06,0.001166740598949996,1.248264162566541e-06,0.0009518099420629319,1.7852910894607108e-06,1.7848762390212878e-06,1.861797085736962e-06,1.1942494324638735e-06,1.2543373676021885e-06,1.2962056876335675e-06,person
4,1.7835568915533986e-06,0.001155282429104088,1.2510031758695422e-06,0.0009506250479204212,1.822952438834354e-06,1.7515392305797507e-06,1.7761790052460868e-06,1.246154351263347e-06,1.2547005436118523e-06,1.252154632733426e-06,person
0,4.6995121045678146e-07,0.0005989163298246506,3.822436294289068e-07,0.0005319989825223286,4.678687826287257e-07,4.6817462052323864e-07,4.738102282183812e-07,3.9175701224189336e-07,3.767859305220063e-07,3.781879455228197e-07,table
1,4.7602976707427273e-07,0.0005966410039629507,3.7873342137683455e-07,0.0005309118331410837,4.706368907660349e-07,4.87462405909873e-07,4.699900045469137e-07,3.806300672281795e-07,3.7977805512143775e-07,3.757921417808879e-07,table
2,4.70150059183161e-07,0.0005933544221617108,3.7536590616627477e-07,0.0005244591362029286,4.7214518439960797e-07,4.835667605660651e-07,4.547382325838098e-07,3.736055784527952e-07,3.759983474495902e-07,3.764937925964398e-07,table
3,4.702294108965301e-07,0.0005946184920847141,3.751872712115552e-07,0.0005264433249680142,4.651256934250877e-07,4.7167531166216656e-07,4.738872276023379e-07,3.8176209767395916e-07,3.7420371270199086e-07,3.69596003258715e-07,table
4,4.755901124125148e-07,0.0005968938179475453,3.705279877320715e-07,0.0005224470281923021,4.661768896565793e-07,4.7086531054225415e-07,4.897281370387101e-07,3.6741263764131757e-07,3.691794523006724e-07,3.7499187325422594e-07,table
0,6.020105007326795e-07,0.0006684992256081226,5.387077241067474e-07,0.0006370756435220657,6.378172913025911e-07,5.97972413511807e-07,5.702417973836384e-07,5.447802518986745e-07,5.517535109922746e-07,5.195894094292922e-07,talwar
1,6.290432809816009e-07,0.0006891310798807456,5.150693940919117e-07,0.000618933815341682,6.355785595416611e-07,5.957880062264254e-07,6.557632771767159e-07,4.855141236929329e-07,5.156451035772139e-07,5.440489550055907e-07,talwar
2,6.18384456019996e-07,0.0006771863221436955,5.230791792115363e-07,0.000623668929213772,6.234815504399912e-07,6.015161507696946e-07,6.301556668503033e-07,5.334660789563834e-07,5.009012202031261e-07,5.348702384750994e-07,talwar
3,6.095268911412399e-07,0.0006739286609429245,5.231133497025949e-07,0.0006236731199592271,5.732530355965163e-07,6.027726390181283e-07,6.525549988090732e-07,5.222798656632806e-07,5.397138009390801e-07,5.073463825054242e-07,talwar
4,6.21370699575931e-07,0.0006864163622128911,5.236511786055412e-07,0.0006190121897009994,5.857809138875223e-07,6.483969847649501e-07,6.299342000753199e-07,5.136975776906588e-07,5.204256917039217e-07,5.36830266422043e-07,talwar
