mesh,mean_uniform_mse,std_uniform_mse,mean_adaptive_mse,std_adaptive_mse,mean_uniform_mae,mean_adaptive_mae,scale_us_variance
branch,2.323988525867218e-06,1.2842696833323764e-08,1.90938134258558e-06,3.47584726690346e-08,0.0013208001462315555,0.0011932448056742224,1.8038988979531736e-15
cylinder,2.5999930767045052e-06,6.816780207924623e-08,1.163691156017025e-06,3.8964960861274766e-08,0.0013824181634277174,0.0009063689592780368,3.580361673049448e-16
explosive,3.9282412645493497e-07,1.9839211631161595e-08,2.865594002185967e-07,3.578673170384447e-09,0.0005437777996507478,0.0004594414548083593,8.322971118520123e-16
fence,4.5025910247233065e-07,5.8169531721041915e-08,2.784555553641896e-07,9.958000470508464e-09,0.0005755580413297518,0.0004531919632284706,5.484097192022683e-16
girl,3.6066593478523796e-07,2.431579709171065e-09,3.602274870630743e-07,2.180149555497968e-09,0.0005206305765868545,0.0005202289993102049,1.1343850103213527e-15
person,1.7787407557236498e-06,2.6153449014459296e-08,1.2257340088919563e-06,3.5790246197119764e-08,0.001152143886928767,0.0009445871308376572,7.797528728379876e-15
table,4.782664766035921e-07,6.969296520411346e-09,3.7897727903344356e-07,4.222573276343894e-09,0.0005997758973733563,0.0005297846935238375,9.033150053209478e-16
talwar,6.190988886866781e-07,1.184979305861978e-08,5.24634955340214e-07,8.394748394266382e-09,0.0006814755760583237,0.0006233229569155048,4.2998752849492583e-16
