mesh,mm_mse,mm_mae,us_mse,us_mae,mm_mse_x,mm_mse_y,mm_mse_z,us_mse_x,us_mse_y,us_mse_z
branch,7.815262558275772e-07,0.0007340000765433482,2.339403117634809e-06,0.0013248074861238479,8.983184729166263e-07,1.173721059976608e-06,2.725392345895e-07,2.2970399774911926e-06,2.4496002808894303e-06,2.2715690945238055e-06
cylinder,7.966258421033582e-07,0.0006109481915933477,2.5735636000765344e-06,0.0013824181634276994,1.1949387631550368e-06,0.0,1.1949387631550368e-06,2.525702349479517e-06,2.669286101270609e-06,2.5257023494794822e-06
explosive,1.2419009882300346e-07,0.0002752260753490181,4.2777993369504385e-07,0.0005743030206011981,5.2543402568433e-08,2.720551375193651e-07,4.797175638121446e-08,4.2108638065860313e-07,4.6484795040501596e-07,3.974054700215148e-07
fence,1.568786888568909e-07,0.00027282402121241915,3.5749223701523693e-07,0.0004939545467004921,2.636107364728589e-07,2.0694012050312048e-07,8.5209594695046e-11,4.089326633797437e-07,3.4458829533800574e-07,3.1895575232796585e-07
girl,2.054234073549812e-07,0.00036986858182439295,3.606065670543075e-07,0.0005222276786544499,3.1480200226874476e-07,2.594645625615357e-07,4.2003657234661554e-08,3.5490057376427947e-07,3.7812600180831815e-07,3.487931255903199e-07
person,7.890193743473484e-07,0.0006917113073488658,1.7873719934919707e-06,0.0011537878852045315,9.083780687073368e-07,1.3971271366607855e-06,6.155291767394302e-08,1.93167230126595e-06,1.7254298323899302e-06,1.705013846820056e-06
table,1.4881127939019155e-07,0.0003067378844393455,4.6995121045678146e-07,0.0005989163298246506,4.331020767845622e-08,1.030992184993578e-07,3.000244119927595e-07,4.678687826287257e-07,4.6817462052323864e-07,4.738102282183812e-07
talwar,1.306784403575006e-07,0.00022840366145382383,6.020105007326795e-07,0.0006684992256081226,1.3872481530843534e-09,3.7258767946683064e-07,1.8060393452584365e-08,6.378172913025911e-07,5.97972413511807e-07,5.702417973836384e-07
